REF_MS;Page_PDF;TITRE_PIECE;TITRE_BRENNER;LANGUE;JOUR;NUM;MOIS;ANNEE;AUTEUR_PIECE;REPR_1;DEPENSES_DIVERSES;Traduction;mot_cles;COUT_DEPENSES_DIVERSES;Dépenses_ordinaires;Instruments;Animaux;Coiffeuse;Picard;Buron;Monsieur_Sticotti;Coffre-fort;Nicolo_et/ou_Villars;Spese_extra;Sconba;Putella;Lista;Chaises;Porteur;Carrosse;Habiller;Menuisier–_De_Lande;Afficheur;Gardes;Souffleur;Lustres;Perruquier;Hommes_ou_enfants_en_plus;Bougies;Arguments;Mances;Danseurs;Pour_le_feu;TOTAL_DEPENSES;DEBIT_DERNIERE_REPR;Column;Recettes_balcon_de_premières_loges;Balcon_deuxièmes_loges;Recettes_balcon_deuxièmes_loges;Billets_premières_loges;Recettes_premières_loges;Billets__secondes_loges;Recettes_deuxièmes_loges;Billets_troisièmes_loges;Recettes_troisièmes_loges;Billets_parterre;Recettes_Parterre;Premières_loges;Recette_Prima_loggia;Seconda_loggia;Recette_Seconda_loggia;Personnalités;Montant_personnalités;Supplément;Montant_Supplément;Paradis;Recettes_Paradis;NB_TOTAL_BILLETS_VENDUS;RECETTES_BILLETS_VENDUS;QUART_PAUVRE;TOTAL_DEPENSES2;DEBIT_INITIAL;RESTE;CREDIT;CREDIT_FINAL_(avanza);R_DEBIT_TOT;R_CREDIT_TOT;Part_des_auteurs;Aparte_in_6_;Aparte_in_9;Aparte_in_12;Aparte_in_12_e_1/4;Aparte_in_12_e_½;Aparte_in_13;Aparte_in_13_¾;Aparte_in_14;Aparte_in_14_¾;Aparte_in_15;Anecdotes;REDACTEURS
TH_OC_10_78;13;Italiano_Francesato;;;;;;;;;Un_corsetto_per_il_scud°_Giovanino;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH_OC_10_78;13;Italiano_Francesato;;;;;;;;;Agiustar_l'abito;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH_OC_10_78;13;Italiano_Francesato;;;;;;;;;A_Giovanino;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH_OC_10_78;13;Italiano_Francesato;;;;;;;;;Nollo_della_tuelleta;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH_OC_10_78;13;Italiano_Francesato;;;;;;;;;Una_vostra_coppa;;;2,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH_OC_10_78;14;Le_Nozze_in_Sogno;Docteur_médecin_amoureux;IT;Giornedi;8;Lug°;1717;Inconnu;08/07/17;Nollo_del_cameron;;;8;120;;;;;;;;;;;;0,17;;;;;;;;;;;;;;;;;128,17;;;;;;35;140;16;32;2;3;166;166;;;;;;;;;;;219;341;85,5;128,17;214,02;126,18;341;66,18;;;;;;5;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;14;Demoni_son_le_Donne;Diables_sont_les_femmes;IT;Sabatto;10;Lug°;1717;;23/06/17;;;;;120;;;;;;;;;33;;;0,5;;3,05;22;;;;;;;;;4,18;;;;;183,02;;;;;;69;276;52;104;8;12;218;218;;;;;;;oui;14;;;347;624;156;183,8;339,08;284,12;624;48,12;;;;;;20;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;15;Italiano_Francesato;Italien_francisé;IT;T;11;Lug°;1717;Riccoboni;30/06/17;Nollo_della_tualetta_e_cadreghe;;;6;120;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;129,1;;;;;;39;156;43;86;13;19,1;137;137;;;;;;;;;;;236;398,1;99,12,6;129,1;229,20,6;169,07;398,1;49;;;;;;10;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;15;Italiano_Francesato;;;;;;;;;A_Giovanino;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH_OC_10_78;15;Le_Nozze_in_Sogno;Docteur_médecin_amoureux;IT;Lunedi;12;Lug°;1717;Inconnu;08/07/17;Nollo_del_cameron;;;8;120;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;129;;;;;;49;196;32;64;2;3;148;148;;;;;;;oui;7;;;231;428;104,1;129;233,02;184,1;418;64,1;;;;;;10;;;;;;;;;Alborgheti/Bissoni
